Local time,Open,High,Low,Close,Volume
10.01.2023 15:00:00.000 GMT-0000,11132.829,11205.299,11045.669,11131.729,10473123.55
10.01.2023 16:00:00.000 GMT-0000,11132.229,11147.799,11092.619,11115.569,9820369.72
10.01.2023 17:00:00.000 GMT-0000,11115.537,11157.889,11081.409,11143.259,8271400.45
10.01.2023 18:00:00.000 GMT-0000,11144.159,11172.619,11131.869,11169.219,7573772.91
10.01.2023 19:00:00.000 GMT-0000,11169.269,11195.989,11160.699,11173.709,7749689.1
10.01.2023 20:00:00.000 GMT-0000,11173.779,11208.649,11143.589,11208.649,8074810.03
10.01.2023 21:00:00.000 GMT-0000,11209.149,11212.119,11200.759,11204.229,1273916.96
10.01.2023 22:00:00.000 GMT-0000,11204.229,11204.229,11204.229,11204.229,0
10.01.2023 23:00:00.000 GMT-0000,11204.829,11209.399,11191.739,11207.229,2007967
11.01.2023 00:00:00.000 GMT-0000,11207.277,11223.597,11206.809,11218.519,3261981.01
11.01.2023 01:00:00.000 GMT-0000,11218.577,11219.109,11195.019,11205.829,3712996.01
11.01.2023 02:00:00.000 GMT-0000,11205.887,11213.287,11197.819,11198.319,3101943.97
11.01.2023 03:00:00.000 GMT-0000,11199.299,11204.289,11192.649,11202.269,2407598.97
11.01.2023 04:00:00.000 GMT-0000,11202.399,11209.899,11195.679,11199.409,2014426.95
11.01.2023 05:00:00.000 GMT-0000,11199.377,11213.619,11194.599,11200.669,2475040.91
11.01.2023 06:00:00.000 GMT-0000,11200.539,11206.619,11188.329,11189.297,2419580.94
11.01.2023 07:00:00.000 GMT-0000,11189.219,11189.389,11165.000,11172.839,3519762.99
11.01.2023 08:00:00.000 GMT-0000,11173.189,11191.887,11166.579,11188.709,4885863.78
11.01.2023 09:00:00.000 GMT-0000,11189.119,11238.489,11184.119,11226.669,4717477.8
11.01.2023 10:00:00.000 GMT-0000,11226.549,11246.219,11210.299,11215.289,3900546.07
11.01.2023 11:00:00.000 GMT-0000,11215.047,11240.759,11207.739,11221.669,3832743.88
11.01.2023 12:00:00.000 GMT-0000,11221.647,11228.919,11198.269,11220.189,4487205.98
11.01.2023 13:00:00.000 GMT-0000,11220.249,11250.399,11218.729,11246.499,5451629.16
11.01.2023 14:00:00.000 GMT-0000,11246.749,11286.409,11214.689,11260.109,8542998.31
11.01.2023 15:00:00.000 GMT-0000,11260.319,11313.767,11239.039,11246.749,9403682.71
11.01.2023 16:00:00.000 GMT-0000,11247.027,11309.787,11243.749,11302.089,8987631.8
11.01.2023 17:00:00.000 GMT-0000,11302.189,11343.899,11301.179,11327.289,9129120.83
11.01.2023 18:00:00.000 GMT-0000,11327.087,11366.799,11311.839,11334.619,8007246.02
11.01.2023 19:00:00.000 GMT-0000,11334.699,11358.299,11320.309,11342.349,7404972.08
11.01.2023 20:00:00.000 GMT-0000,11342.519,11400.259,11340.809,11396.619,8741275.79
11.01.2023 21:00:00.000 GMT-0000,11396.829,11397.997,11384.539,11391.309,1450924.04
11.01.2023 22:00:00.000 GMT-0000,11391.309,11391.309,11391.309,11391.309,0
11.01.2023 23:00:00.000 GMT-0000,11394.829,11399.289,11386.559,11395.069,2441740.99
12.01.2023 00:00:00.000 GMT-0000,11395.239,11397.289,11383.349,11390.899,3318929.91
12.01.2023 01:00:00.000 GMT-0000,11390.999,11396.789,11383.619,11390.629,3666917.09
